"ID","Hotel_Name","Location","Review"
"rn577252847","Istanbul Turkish Restaurant","Kata Beach","second time to Phuket and couldn't go past visiting this restaurant Food is amazing and very authentic and the jewellery on display to buy is beautiful We will definitely be back again on our next visit to Phuket "
"rn574374155","Istanbul Turkish Restaurant","Kata Beach","Tonight my husband Master 14 and Miss 11 ventured from Karon based on the recommendations in TripAdvisor and we were certainly not disappointed Lovely owners and very friendly staff and the food is truely amazing We had the share platter great variety and easy as More"
"rn573460240","Istanbul Turkish Restaurant","Kata Beach","A very pleasant place to have diner where great turkish food is served The owners are very friendly and welcoming While waiting for the order we enjoyed a basket of pita bread for free The yoghurt and eggplant dips are fantastic Thank youMore"
"rn572977865","Istanbul Turkish Restaurant","Kata Beach","Yum Platter for two was more than enough for myself and husband (both have big appetites) Owners were there waiting tables Very friend and we enjoyed the food immensely If you like bread and cheese you will be a fan More"
"rn572406492","Istanbul Turkish Restaurant","Kata Beach","Really nice welcoming restaurant on the road side worth the walk sat looking out into the street we were given warm Turkish bread (free) with butter to get us going whilst ordering Chicken skewers and Rice Service was good food was delicious very authentic and More"
"rn572337747","Istanbul Turkish Restaurant","Kata Beach","Nice ambiance warm and friendly staff and very delicious dishes I recommend everyone to try the Soufflé as well Cannot wait to come again "
"rn572337475","Istanbul Turkish Restaurant","Kata Beach","Super tasty food Perfect service and perfect location Very friendly and family atmosphere We will come back "
"rn571575446","Istanbul Turkish Restaurant","Kata Beach","We have a holiday home at Kata and felt like something different The reviews in Tripadvisor were great and booked in for dinner Delicious authentic home cooking and warm hospitality that is reasonably priced Its at the top of our favourites list Breakfast is also More"
"rn569203846","Istanbul Turkish Restaurant","Kata Beach","We found this restaurant via Trip Advisor and are glad we did The restaurant is a little walk (10 mins) from the main beach entrance in Kata and so is not a place you just stumble across You can easily get a tuk tuk or More"
"rn567669628","Istanbul Turkish Restaurant","Kata Beach","We went here for breakfast and we were so satisfied after our meal The food was amazing and so was the staff and owners we truly felt at home Being Turkish myself I thought the food was just as good as you would get in More"
"rn566879785","Istanbul Turkish Restaurant","Kata Beach","When we want eat Turkish food we just go to Istanbul restaurant because friendly person make great Turkish food by hand made can’t find better than this restaurant in thailand<f0><U+009F><U+0091><U+008C><U+2B50><U+FE0F><U+2B50><U+FE0F>"
"rn566635561","Istanbul Turkish Restaurant","Kata Beach","I Come back again today and the food Was more delicious than the the last time i was here Good quality and service The Price i acceptable Will recomande this place"
